Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
KARAIKAL,General,24.32,9.64,16.98,40.43,38.68,39.5,51.56,45.62,48.41,12501,10.91564885,79.806948798,10.91564885,79.806948798
KARAIKAL,OBC,0.0,1.22,0.48,0.91,1.37,1.15,0.37,11.28,5.95,12501,10.91564885,79.806948798,10.91564885,79.806948798
KARAIKAL,SC,6.4,3.68,5.03,0.65,3.34,2.08,6.65,9.56,8.16,12501,10.91564885,79.806948798,10.91564885,79.806948798
KARAIKAL,ST,0.0,13.33,9.52,50.0,66.67,63.64,66.67,0.0,50.0,12501,10.91564885,79.806948798,10.91564885,79.806948798
KARAIKAL,Overall,2.59,2.22,2.4,3.18,4.15,3.68,4.66,13.09,8.99,12501,10.91564885,79.806948798,10.91564885,79.806948798
MAHE,General,0.0,0.0,0.0,0.0,3.23,0.0,3.49,0.0,0.0,12502,11.7021978,75.5364701,11.7021978,75.5364701
MAHE,OBC,0.0,0.0,0.0,7.28,0.43,3.8,0.0,0.0,0.0,12502,11.7021978,75.5364701,11.7021978,75.5364701
MAHE,SC,32.61,20.75,26.26,7.89,0.0,4.69,20.0,0.0,0.0,12502,11.7021978,75.5364701,11.7021978,75.5364701
MAHE,ST,0.0,50.0,33.33,50.0,0.0,25.0,0.0,0.0,0.0,12502,11.7021978,75.5364701,11.7021978,75.5364701
MAHE,Overall,0.0,0.0,0.0,6.25,0.69,3.42,0.0,0.0,0.0,12502,11.7021978,75.5364701,11.7021978,75.5364701
PONDICHERRY,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12503,11.93549,79.832702,11.93549,79.832702
PONDICHERRY,OBC,7.11,7.07,7.09,5.0,9.76,7.46,5.39,12.81,9.19,12503,11.93549,79.832702,11.93549,79.832702
PONDICHERRY,SC,8.83,10.35,9.61,6.02,6.71,6.38,7.27,14.48,10.97,12503,11.93549,79.832702,11.93549,79.832702
PONDICHERRY,ST,0.0,0.0,0.0,17.69,0.0,0.0,55.29,0.0,21.97,12503,11.93549,79.832702,11.93549,79.832702
PONDICHERRY,Overall,3.71,3.87,3.79,1.62,2.61,2.13,4.24,8.0,6.17,12503,11.93549,79.832702,11.93549,79.832702
YANAM,General,10.16,14.54,12.45,0.0,0.91,0.0,0.0,0.0,0.0,12504,16.7385032,82.2106199,16.7385032,82.2106199
YANAM,OBC,11.52,14.99,13.25,4.23,0.89,2.48,23.93,29.78,26.91,12504,16.7385032,82.2106199,16.7385032,82.2106199
YANAM,SC,10.85,6.93,9.01,0.65,5.76,3.48,3.94,14.84,9.41,12504,16.7385032,82.2106199,16.7385032,82.2106199
YANAM,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12504,16.7385032,82.2106199,16.7385032,82.2106199
YANAM,Overall,11.12,13.45,12.28,2.35,1.75,2.03,12.29,20.53,16.55,12504,16.7385032,82.2106199,16.7385032,82.2106199
